"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 12:48:40 GMT 2024","Fri Apr 05 12:49:06 GMT 2024","25275","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:41 GMT 2024","592","","","","ProjectApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:42 GMT 2024","206","","","","ProjectApiTest","UpdateAddProjectTest","UpdateAddProjectTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:42 GMT 2024","381","","","","ProjectFakerApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 12:48:42 GMT 2024","Fri Apr 05 12:48:42 GMT 2024","329","","","","ProjectApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:41 GMT 2024","598","","","","ProjectFakerApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:41 GMT 2024","260","","","","ProjectApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 12:48:40 GMT 2024","Fri Apr 05 12:49:17 GMT 2024","36424","","","","ProjectTest","SuccessfulAddProjectTest","SuccessfulAddProjectTest",""
"passed","Fri Apr 05 12:48:41 GMT 2024","Fri Apr 05 12:48:41 GMT 2024","217","","","","ProjectFakerApiTest","GetProjectTest","GetProjectTest",""
