"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Apr 05 21:43:48 GMT 2024","Fri Apr 05 21:43:50 GMT 2024","2382","","","","LoginTest","SuccessfulLoginTest","SuccessfulLoginTest",""
"passed","Fri Apr 05 21:43:49 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","211","","","","ProjectApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:43:49 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","293","","","","ProjectApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:43:48 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","530","","","","ProjectApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:43:49 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","237","","","","ProjectFakerApiTest","GetProjectTest","GetProjectTest",""
"passed","Fri Apr 05 21:43:45 GMT 2024","Fri Apr 05 21:43:45 GMT 2024","235","","","","ProjectFakerApiTest","DeleteProjectTest","DeleteProjectTest",""
"passed","Fri Apr 05 21:43:48 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","518","","","","ProjectFakerApiTest","AddProjectTest","AddProjectTest",""
"passed","Fri Apr 05 21:43:49 GMT 2024","Fri Apr 05 21:44:02 GMT 2024","13126","","","","ProjectTest","SuccessfulAddProjectTest","SuccessfulAddProjectTest",""
"passed","Fri Apr 05 21:43:49 GMT 2024","Fri Apr 05 21:43:49 GMT 2024","196","","","","ProjectApiTest","UpdateAddProjectTest","UpdateAddProjectTest",""
"passed","Fri Apr 05 21:43:48 GMT 2024","Fri Apr 05 21:43:50 GMT 2024","1858","","","","LoginTest","InvalidUsernameLoginTest","InvalidUsernameLoginTest",""
